"Energy [MeV]","Nb protons [/MeV/sr]"
0.198,1.4137e10
0.1992,1.4336e10
0.2005,1.4336e10
0.2017,1.4336e10
0.203,1.4539e10
0.2042,1.4539e10
0.2055,1.4539e10
0.2068,1.4744e10
0.2081,1.4744e10
0.2081,1.4952e10
0.2094,1.4952e10
0.2107,1.4952e10
0.212,1.4952e10
0.2133,1.4952e10
0.2147,1.4952e10
0.216,1.4952e10
0.2174,1.4952e10
0.2187,1.4744e10
0.2201,1.4744e10
0.2215,1.4539e10
0.2227,1.4539e10
0.2242,1.4336e10
0.2256,1.4336e10
0.227,1.4137e10
0.2285,1.4137e10
0.2299,1.394e10
0.2313,1.394e10
0.2328,1.394e10
0.2342,1.394e10
0.2357,1.394e10
0.2371,1.394e10
0.2386,1.394e10
0.2401,1.394e10
0.2416,1.394e10
0.2431,1.394e10
0.2446,1.394e10
0.2462,1.394e10
0.2477,1.394e10
0.2493,1.394e10
0.2508,1.4137e10
0.2524,1.4137e10
0.2539,1.4336e10
0.2555,1.4336e10
0.257,1.4336e10
0.2587,1.4539e10
0.2604,1.4539e10
0.262,1.4539e10
0.2636,1.4539e10
0.2652,1.4539e10
0.2669,1.4539e10
0.2686,1.4539e10
0.2703,1.4744e10
0.2719,1.4744e10
0.2736,1.4744e10
0.2753,1.4744e10
0.2771,1.4744e10
0.2788,1.4744e10
0.2805,1.4744e10
0.2823,1.4744e10
0.2841,1.4744e10
0.2858,1.4744e10
0.2876,1.4539e10
0.2894,1.4539e10
0.2912,1.4539e10
0.293,1.4539e10
0.2949,1.4539e10
0.2967,1.4539e10
0.2986,1.4539e10
0.3004,1.4539e10
0.3023,1.4539e10
0.3042,1.4539e10
0.3061,1.4539e10
0.308,1.4539e10
0.3099,1.4539e10
0.3118,1.4539e10
0.3138,1.4539e10
0.3157,1.4744e10
0.3176,1.4744e10
0.3197,1.4952e10
0.3216,1.4952e10
0.3237,1.4952e10
0.3256,1.4952e10
0.3277,1.4952e10
0.3298,1.4952e10
0.3319,1.4952e10
0.3338,1.4952e10
0.336,1.4952e10
0.3381,1.4952e10
0.3402,1.5163e10
0.3424,1.5163e10
0.3445,1.5163e10
0.3466,1.5163e10
0.3488,1.5163e10
0.351,1.5163e10
0.3532,1.5163e10
0.3554,1.5163e10
0.3576,1.4952e10
0.3598,1.4952e10
0.362,1.4952e10
0.3643,1.4952e10
0.3666,1.4744e10
0.3689,1.4744e10
0.3712,1.4744e10
0.3735,1.4539e10
0.3759,1.4539e10
0.3782,1.4539e10
0.3806,1.4539e10
0.3829,1.4336e10
0.3853,1.4336e10
0.3877,1.4336e10
0.3902,1.4539e10
0.3926,1.4539e10
0.395,1.4539e10
0.3975,1.4539e10
0.4,1.4539e10
0.4025,1.4539e10
0.405,1.4539e10
0.4075,1.4539e10
0.4101,1.4539e10
0.4126,1.4539e10
0.4152,1.4539e10
0.4178,1.4336e10
0.4203,1.4336e10
0.423,1.4137e10
0.4257,1.4137e10
0.4283,1.394e10
0.431,1.394e10
0.4337,1.3746e10
0.4364,1.3746e10
0.4391,1.3746e10
0.4419,1.3555e10
0.4445,1.3555e10
0.4474,1.3555e10
0.4502,1.3366e10
0.453,1.3366e10
0.4558,1.3366e10
0.4586,1.3366e10
0.4615,1.3366e10
0.4644,1.3366e10
0.4673,1.318e10
0.4702,1.2997e10
0.4732,1.2997e10
0.4761,1.2997e10
0.4791,1.2816e10
0.4821,1.2816e10
0.4821,1.2637e10
0.4851,1.2637e10
0.4881,1.2461e10
0.4912,1.2461e10
0.4942,1.2288e10
0.4973,1.2288e10
0.5004,1.2288e10
0.5036,1.2288e10
0.5067,1.2288e10
0.5099,1.2117e10
0.5131,1.2117e10
0.5163,1.2117e10
0.5194,1.2117e10
0.5227,1.1948e10
0.526,1.1948e10
0.5293,1.1948e10
0.5326,1.1948e10
0.5359,1.1948e10
0.5392,1.2117e10
0.5426,1.2117e10
0.546,1.2117e10
0.5493,1.2117e10
0.5528,1.2117e10
0.5563,1.2117e10
0.5598,1.1948e10
0.5633,1.1948e10
0.5668,1.1948e10
0.5703,1.1782e10
0.5739,1.1782e10
0.5775,1.1782e10
0.5811,1.1618e10
0.5847,1.1456e10
0.5883,1.1297e10
0.592,1.1297e10
0.5957,1.1297e10
0.5994,1.1297e10
0.6032,1.1297e10
0.6069,1.1139e10
0.6107,1.1139e10
0.6145,1.0984e10
0.6183,1.0831e10
0.6221,1.0831e10
0.6261,1.0681e10
0.63,1.0681e10
0.634,1.0681e10
0.6379,1.0681e10
0.6419,1.0532e10
0.6419,1.0385e10
0.6459,1.0241e10
0.6499,1.0241e10
0.654,1.0098e10
0.6581,1.0098e10
0.6622,1.0098e10
0.6663,9.9577e9
0.6705,9.9577e9
0.6747,9.9577e9
0.6789,9.8191e9
0.6831,9.8191e9
0.6831,9.6824e9
0.6874,9.6824e9
0.6917,9.5476e9
0.696,9.5476e9
0.7003,9.4147e9
0.7046,9.4147e9
0.7046,9.2836e9
0.709,9.1544e9
0.7135,9.1544e9
0.718,9.1544e9
0.7225,9.1544e9
0.7225,9.027e9
0.7269,8.9013e9
0.7315,8.7774e9
0.7361,8.7774e9
0.7407,8.6552e9
0.7452,8.5347e9
0.75,8.4159e9
0.7547,8.4159e9
0.7547,8.2988e9
0.7593,8.1833e9
0.7641,8.1833e9
0.7689,8.0694e9
0.7689,7.957e9
0.7737,7.957e9
0.7785,7.8463e9
0.7833,7.7371e9
0.7883,7.6294e9
0.7932,7.6294e9
0.7981,7.6294e9
0.8031,7.5231e9
0.8081,7.5231e9
0.8132,7.5231e9
0.8183,7.4184e9
0.8234,7.4184e9
0.8234,7.3152e9
0.8285,7.3152e9
0.8336,7.2133e9
0.8389,7.1129e9
0.8441,7.1129e9
0.8441,7.0139e9
0.8494,7.0139e9
0.8547,6.9163e9
0.8599,6.9163e9
0.8654,6.82e9
0.8708,6.7251e9
0.8761,6.7251e9
0.8817,6.7251e9
0.8817,6.6315e9
0.8872,6.5391e9
0.8928,6.5391e9
0.8982,6.4481e9
0.904,6.3584e9
0.9096,6.2698e9
0.9153,6.1826e9
0.921,6.0965e9
0.9266,6.0116e9
0.9325,5.928e9
0.9383,5.928e9
0.9442,5.8454e9
0.9501,5.8454e9
0.956,5.7641e9
0.956,5.6838e9
0.962,5.6047e9
0.968,5.5267e9
0.9741,5.4498e9
0.9801,5.4498e9
0.9801,5.3739e9
0.9863,5.3739e9
0.9924,5.2991e9
0.9986,5.2991e9
1.0048,5.2991e9
1.0111,5.2253e9
1.0174,5.2253e9
1.0238,5.2253e9
1.0302,5.2253e9
1.0366,5.1526e9
1.0431,5.1526e9
1.0496,5.1526e9
1.0561,5.1526e9
1.0627,5.1526e9
1.0694,5.0809e9
1.0761,5.0102e9
1.0828,5.0102e9
1.0895,4.9404e9
1.0963,4.9404e9
1.1032,4.8716e9
1.1101,4.8716e9
1.117,4.8038e9
1.124,4.8038e9
1.124,4.737e9
1.131,4.737e9
1.1381,4.671e9
1.1452,4.671e9
1.1522,4.606e9
1.1595,4.5419e9
1.1667,4.4787e9
1.174,4.4163e9
1.1814,4.3548e9
1.1887,4.3548e9
1.1962,4.2942e9
1.2036,4.2344e9
1.2111,4.1755e9
1.2187,4.1174e9
1.2263,4.0601e9
1.234,4.0035e9
1.2417,3.9478e9
1.2494,3.8929e9
1.2572,3.8387e9
1.2651,3.7852e9
1.273,3.7325e9
1.2809,3.6806e9
1.2889,3.6294e9
1.297,3.5788e9
1.3051,3.5788e9
1.3051,3.529e9
1.3132,3.4799e9
1.3214,3.4315e9
1.3296,3.4315e9
1.338,3.3837e9
1.3463,3.3837e9
1.3547,3.3366e9
1.3547,3.2901e9
1.3632,3.2443e9
1.3717,3.1992e9
1.3717,3.1546e9
1.3803,3.1107e9
1.3803,3.0674e9
1.3889,3.0247e9
1.3889,2.9826e9
1.3976,2.9826e9
1.3976,2.9411e9
1.3976,2.9002e9
1.3976,2.8598e9
1.3976,2.82e9
1.4062,2.7807e9
1.4151,2.742e9
1.4239,2.7039e9
1.4239,2.6662e9
1.4328,2.6662e9
1.4418,2.6291e9
1.4508,2.5925e9
1.4598,2.5564e9
1.4689,2.5208e9
1.4781,2.4857e9
1.4874,2.4511e9
1.4966,2.417e9
1.4966,2.3834e9
1.506,2.3834e9
1.5154,2.3502e9
1.5154,2.3175e9
1.5249,2.2852e9
1.5344,2.2852e9
1.5344,2.2534e9
1.544,2.222e9
1.5535,2.1911e9
1.5633,2.1606e9
1.5731,2.1305e9
1.5829,2.1009e9
1.5928,2.1009e9
1.5928,2.0716e9
1.6027,2.0716e9
1.6127,2.0716e9
1.6228,2.0716e9
1.6329,2.0716e9
1.6431,2.0428e9
1.6431,2.0144e9
1.6534,2.0144e9
1.6637,1.9863e9
1.6741,1.9863e9
1.6741,1.9587e9
1.6844,1.9587e9
1.6951,1.9314e9
1.7056,1.9314e9
1.7163,1.9045e9
1.7269,1.878e9
1.7378,1.8519e9
1.7486,1.8519e9
1.7596,1.8261e9
1.7705,1.8261e9
1.7816,1.8261e9
1.7927,1.8007e9
1.8039,1.8007e9
1.8039,1.7756e9
1.8152,1.7756e9
1.8265,1.7509e9
1.8378,1.7509e9
1.8494,1.7265e9
1.8609,1.7025e9
1.8726,1.6788e9
1.8841,1.6554e9
1.896,1.6324e9
1.9079,1.6097e9
1.9198,1.6097e9
1.9317,1.6097e9
1.9438,1.5872e9
1.9559,1.5652e9
1.9682,1.5434e9
1.9805,1.5219e9
1.9928,1.5007e9
2.0053,1.5007e9
2.0178,1.4798e9
2.0178,1.4592e9
2.0304,1.4592e9
2.0304,1.4389e9
2.0431,1.4189e9
2.0558,1.3991e9
2.0687,1.3796e9
2.0816,1.3604e9
2.0946,1.3415e9
2.1077,1.3228e9
2.1077,1.3044e9
2.1208,1.3044e9
2.1341,1.2863e9
2.1474,1.2683e9
2.1474,1.2507e9
2.1608,1.2507e9
2.1743,1.2333e9
2.1743,1.2161e9
2.1879,1.1992e9
2.2015,1.1825e9
2.2153,1.166e9
2.2153,1.1498e9
2.2291,1.1338e9
2.2429,1.1338e9
2.2429,1.118e9
2.257,1.1024e9
2.2711,1.0871e9
2.2852,1.072e9
2.2995,1.057e9
2.3139,1.057e9
2.3139,1.0423e9
2.3284,1.0278e9
2.3429,1.0278e9
2.3576,1.0135e9
2.3576,9.9941e8
2.3723,9.9941e8
2.3871,9.855e8
2.402,9.7178e8
2.417,9.5825e8
2.417,9.4491e8
2.4321,9.4491e8
2.4473,9.3176e8
2.4626,9.1879e8
2.4779,9.1879e8
2.4779,9.06e8
2.4779,8.9339e8
2.4779,8.8095e8
2.478,8.6869e8
2.478,8.566e8
2.4934,8.566e8
2.509,8.6869e8
2.5246,8.6869e8
2.5404,8.8095e8
2.5563,8.9339e8
2.5722,8.9339e8
2.5883,9.06e8
2.6044,9.06e8
2.6207,9.1879e8
2.637,9.1879e8
2.6535,9.3176e8
2.6701,9.1879e8
2.6867,9.1879e8
2.6867,9.06e8
2.7035,9.06e8
2.7204,8.9339e8
2.7204,8.8095e8
2.7374,8.8095e8
2.7545,8.8095e8
2.7717,8.9339e8
2.789,8.9339e8
2.8064,8.9339e8
2.8239,9.06e8
2.8415,9.06e8
2.8415,9.1879e8
2.8592,9.1879e8
2.8771,9.1879e8
2.8951,9.3176e8
2.9131,9.3176e8
2.9313,9.4491e8
2.9496,9.4491e8
2.968,9.4491e8
2.9865,9.4491e8
3.0052,9.4491e8
3.0239,9.4491e8
3.0428,9.3176e8
3.0618,9.3176e8
3.0809,9.3176e8
3.1002,9.3176e8
3.1195,9.1879e8
3.139,9.1879e8
3.1586,9.1879e8
3.1783,9.1879e8
3.1982,9.06e8
3.2181,9.06e8
3.2382,9.06e8
3.2584,9.06e8
3.2788,8.9339e8
3.2993,8.9339e8
3.3197,8.9339e8
3.3406,8.9339e8
3.3614,8.9339e8
3.3824,8.9339e8
3.4035,8.8095e8
3.4248,8.8095e8
3.4462,8.8095e8
3.4677,8.8095e8
3.4893,8.6869e8
3.511,8.6869e8
3.533,8.6869e8
3.5551,8.566e8
3.5773,8.566e8
3.5996,8.566e8
3.6221,8.566e8
3.6447,8.4467e8
3.6675,8.4467e8
3.6903,8.4467e8
3.7134,8.4467e8
3.7366,8.4467e8
3.7599,8.3292e8
3.7833,8.2132e8
3.807,8.0989e8
3.8308,7.9861e8
3.8547,7.875e8
3.8547,7.7654e8
3.8788,7.6573e8
3.903,7.6573e8
3.9274,7.5507e8
3.9519,7.4456e8
3.9766,7.4456e8
3.9766,7.3419e8
4.0014,7.2397e8
4.0264,7.2397e8
4.0515,7.1389e8
4.0768,7.0396e8
4.1023,6.9416e8
4.1279,6.9416e8
4.1537,6.845e8
4.1537,6.7497e8
4.1796,6.7497e8
4.2057,6.6557e8
4.2057,6.5631e8
4.232,6.4717e8
4.2584,6.4717e8
4.2584,6.3816e8
4.2584,6.2928e8
4.2584,6.2052e8
4.2584,6.1188e8
4.2584,6.0336e8
4.285,5.9497e8
4.285,5.8668e8
4.3118,5.7852e8
4.3387,5.7046e8
4.3387,5.6252e8
4.3658,5.5469e8
4.3658,5.4697e8
4.3931,5.3936e8
4.3931,5.3185e8
4.4205,5.2445e8
4.4205,5.1715e8
4.4481,5.0995e8
4.4759,5.0285e8
4.5038,4.9585e8
4.5038,4.8895e8
4.5039,4.8214e8
4.5039,4.7543e8
4.532,4.6881e8
4.532,4.6228e8
4.532,4.5585e8
4.532,4.495e8
4.5603,4.4325e8
4.5603,4.3708e8
4.5603,4.3099e8
4.5888,4.2499e8
4.5888,4.1908e8
4.5888,4.1324e8
4.6175,4.0749e8
4.6175,4.0182e8
4.6463,3.9623e8
4.6463,3.9071e8
4.6463,3.8527e8
4.6463,3.7991e8
4.6754,3.7462e8
4.6754,3.6941e8
4.7046,3.6941e8
4.7339,3.6426e8
4.7339,3.5919e8
4.7635,3.5419e8
4.7932,3.4926e8
4.7933,3.444e8
4.7933,3.3961e8
4.8232,3.3488e8
4.8533,3.3022e8
4.8533,3.2562e8
4.8836,3.2109e8
4.8836,3.1662e8
4.9141,3.1221e8
4.9141,3.0787e8
4.9141,3.0358e8
4.9142,2.9935e8
4.9447,2.9519e8
4.9447,2.9108e8
4.9449,2.8703e8
4.9757,2.8303e8
4.9757,2.7909e8
4.9758,2.7521e8
4.9758,2.7137e8
4.9758,2.676e8
5.0068,2.6387e8
5.0069,2.602e8
5.0069,2.5658e8
5.0069,2.5301e8
5.0381,2.4948e8
5.0381,2.4601e8
5.0382,2.4259e8
5.0382,2.3921e8
5.0695,2.3588e8
5.0695,2.326e8
5.0695,2.2936e8
5.1013,2.2617e8
5.1013,2.2302e8
5.1013,2.1991e8
5.1332,2.1685e8
5.1332,2.1383e8
5.1652,2.1383e8
5.1652,2.1086e8
5.1652,2.0792e8
5.1975,2.0503e8
5.1975,2.0217e8
5.1975,1.9936e8
5.1975,1.9658e8
5.23,1.9385e8
5.23,1.9115e8
5.2626,1.8849e8
5.2955,1.8586e8
5.2955,1.8328e8
5.3286,1.8073e8
5.3286,1.7821e8
5.3286,1.7573e8
5.3618,1.7328e8
5.3618,1.7087e8
5.3618,1.6849e8
5.3618,1.6615e8
5.3618,1.6383e8
5.3618,1.6155e8
5.3618,1.5931e8
5.3618,1.5709e8
5.3954,1.5709e8
5.4291,1.5709e8
5.4291,1.549e8
5.4291,1.5274e8
5.463,1.5062e8
5.463,1.4852e8
5.463,1.4645e8
5.4971,1.4442e8
5.4971,1.4241e8
5.4971,1.4042e8
5.5314,1.4042e8
5.5314,1.3847e8
5.5314,1.3654e8
5.4971,1.3464e8
5.4971,1.3277e8
5.4971,1.3092e8
5.4971,1.291e8
5.4971,1.273e8
5.5316,1.2553e8
5.5316,1.2378e8
5.5316,1.2206e8
5.5316,1.2036e8
5.5661,1.1868e8
5.5661,1.1703e8
5.5662,1.154e8
5.5662,1.1379e8
5.6009,1.1221e8
5.6009,1.1065e8
5.6009,1.0911e8
5.601,1.0759e8
5.6359,1.0609e8
5.6359,1.0461e8
5.636,1.0316e8
5.636,1.0172e8
5.636,1.0031e8
5.636,9.891e7
5.636,9.7534e7
5.636,9.6176e7
5.6712,9.4837e7
5.6712,9.3517e7
5.6712,9.2215e7
5.6712,9.0932e7
5.6712,8.9666e7
5.6712,8.8418e7
5.7067,8.7187e7
5.7067,8.5973e7
5.7067,8.4776e7
5.7423,8.3596e7
5.7423,8.2433e7
5.7782,8.1285e7
5.8143,8.0154e7
5.8143,7.9038e7
5.8143,7.7938e7
5.8143,7.6853e7
5.8506,7.5783e7
5.8506,7.4728e7
5.8506,7.3688e7
5.8506,7.2662e7
5.8872,7.1651e7
5.8872,7.0653e7
5.8872,6.967e7
5.8872,6.87e7
5.924,6.7744e7
5.924,6.6801e7
5.924,6.5871e7
5.924,6.4954e7
5.9609,6.405e7
5.9609,6.3158e7
5.9609,6.2279e7
5.9982,6.1412e7
5.9982,6.0557e7
5.9982,5.9714e7
5.9983,5.8883e7
5.9983,5.8063e7
6.0357,5.7255e7
6.0357,5.6458e7
6.0357,5.5672e7
6.0358,5.4897e7
6.0734,5.4133e7
6.0735,5.338e7
6.0735,5.2636e7
6.0735,5.1904e7
6.1114,5.1181e7
6.1114,5.0469e7
6.1114,4.9766e7
6.1114,4.9074e7
6.1496,4.839e7
6.1496,4.7717e7
6.1496,4.7053e7
6.1496,4.6398e7
6.188,4.5752e7
6.188,4.5115e7
6.1881,4.4487e7
6.1881,4.3868e7
6.1881,4.3257e7
6.2267,4.2655e7
6.2267,4.2061e7
6.2267,4.1476e7
6.2268,4.0898e7
6.2656,4.0329e7
6.2656,3.9768e7
6.2657,3.9214e7
6.2657,3.8668e7
6.3048,3.8668e7
6.3048,3.813e7
6.3048,3.7599e7
6.3048,3.7076e7
6.3442,3.656e7
6.3442,3.6051e7
6.3442,3.5549e7
6.3442,3.5054e7
6.3838,3.4566e7
6.3838,3.4085e7
6.3839,3.361e7
6.3839,3.3143e7
6.3839,3.2681e7
6.4237,3.2226e7
6.4238,3.1778e7
6.4238,3.1335e7
6.4238,3.0899e7
6.4639,3.0469e7
6.4639,3.0045e7
6.4639,2.9627e7
6.4639,2.9214e7
6.5043,2.8808e7
6.5043,2.8407e7
6.5043,2.8011e7
6.5043,2.7621e7
6.5449,2.7237e7
6.545,2.6858e7
6.545,2.6484e7
6.545,2.6115e7
6.5857,2.5752e7
6.5859,2.5393e7
6.5859,2.504e7
6.5859,2.4691e7
6.5859,2.4347e7
6.627,2.4008e7
6.627,2.3674e7
6.627,2.3345e7
6.6684,2.302e7
6.6684,2.2699e7
6.6684,2.2383e7
6.6684,2.2072e7
6.7101,2.1765e7
6.7101,2.1462e7
6.7101,2.1163e7
6.7101,2.0868e7
6.752,2.0578e7
6.752,2.0291e7
6.7521,2.0009e7
6.7521,1.973e7
6.7942,1.9456e7
6.7942,1.9185e7
6.7943,1.8918e7
6.7943,1.8654e7
6.7943,1.8395e7
6.8367,1.8139e7
6.8367,1.7886e7
6.8367,1.7637e7
6.8367,1.7392e7
6.8794,1.715e7
6.8795,1.6911e7
6.8795,1.6676e7
6.8795,1.6443e7
6.9224,1.6215e7
6.9224,1.5989e7
6.9224,1.5766e7
6.9224,1.5547e7
6.9657,1.533e7
6.9657,1.5117e7
6.9657,1.4907e7
7.0092,1.4699e7
7.0092,1.4494e7
7.0092,1.4293e7
7.0093,1.4094e7
7.0093,1.3898e7
7.053,1.3704e7
7.0531,1.3513e7
7.0531,1.3325e7
7.0531,1.314e7
7.0971,1.2957e7
7.0971,1.2776e7
7.0971,1.2599e7
7.0972,1.2423e7
7.1415,1.225e7
7.1415,1.208e7
7.1415,1.1912e7
7.1415,1.1746e7
7.1861,1.1582e7
7.1861,1.1421e7
7.1861,1.1262e7
7.1861,1.1105e7
7.231,1.0951e7
7.231,1.0798e7
7.231,1.0648e7
7.2311,1.05e7
7.2311,1.0354e7
7.2762,1.0209e7
7.2762,1.0067e7
7.2763,9.9272e6
7.2763,9.789e6
